"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"Q3";"SOT-23";1;"AO3400A";;;
2;"L2";"L_Taiyo-Yuden_NR-40xx";1;"47uH 0.5A";;;
3;"D5,D4,D3";"D_SOD-123";3;"MBR0530";;;
4;"R17";"R_0402_1005Metric";1;"2.2";;;
5;"C21,C20";"C_0603_1608Metric";2;"4.7uF/50V";;;
6;"U3";"SOT-23-5";1;"TP4054";;;
7;"R16";"R_0402_1005Metric";1;"1M";;;
8;"J1";"1.25T-2PWT (Molex 532610271)";1;"Battery";;;
9;"J3";"24_Pins_0.5mm_Pitch_ZIF_Connector_UP";1;"FPC24(0.5MM)";;;
10;"M1";"Motor_Header";1;"Vibration_Motor";;;
11;"J2";"USB_Micro-B";1;"Micro USB";;;
12;"G***";"sqfmi_duck";1;"LOGO";;;
13;"C29,C25,C27,C22,C23,C24,C28,C26";"C_0402_1005Metric";8;"1uF/50V";;;
14;"C3,C2,C15,C4";"C_0402_1005Metric";4;"1uF";;;
15;"R4,R2,R15,R8,R11,R6,R19,R7,R10";"R_0402_1005Metric";9;"100K";;;
16;"Y2";"Crystal_SMD_2520-4Pin_2.5x2.0mm";1;"40MHz";;;
17;"TP5";"TestPoint_Pad_D1.0mm";1;"GND";;;
18;"SW1";"EVQPUC";1;"BTN2";;;
19;"C6,C5,C11,C14,C12,C13";"C_0402_1005Metric";6;"100nF";;;
20;"C10,C1";"C_0402_1005Metric";2;"10uF";;;
21;"R13";"R_0402_1005Metric";1;"1K";;;
22;"L1";"L_0402_1005Metric";1;"TBD";;;
23;"Q2";"SOT-23";1;"S8050";;;
24;"U4";"QFN-56-1EP_7x7mm_P0.4mm_EP5.6x5.6mm";1;"ESP32-S3";;;
25;"R18,R3,R1,R20";"R_0402_1005Metric";4;"10K";;;
26;"R5,R14";"R_0402_1005Metric";2;"51K";;;
27;"TP6";"TestPoint_Pad_D1.0mm";1;"SCL";;;
28;"SW2";"EVQPUC";1;"BTN1";;;
29;"TP2";"TestPoint_Pad_D1.0mm";1;"RX";;;
30;"C9,C7";"C_0402_1005Metric";2;"TBD";;;
31;"Q1";"SOT-23";1;"CJ2301";;;
32;"U6";"LGA-12_2x2mm_P0.5mm";1;"BMA423";;;
33;"AE1";"SWRA117D";1;"Antenna_Chip";;;
34;"TP1";"TestPoint_Pad_D1.0mm";1;"TX";;;
35;"C16,C19";"C_0402_1005Metric";2;"22pF";;;
36;"SW3";"EVQPUC";1;"BTN3";;;
37;"U2";"SOT-23-5";1;"RT908033";;;
38;"TP7";"TestPoint_Pad_D1.0mm";1;"SDA";;;
39;"R9";"R_0402_1005Metric";1;"360K";;;
40;"D2";"D_SOD-123F";1;"1N4001";;;
41;"C18,C17";"C_0402_1005Metric";2;"18pF";;;
42;"TP3";"TestPoint_Pad_D1.0mm";1;"BOOT";;;
43;"U5";"SOT-666";1;"USBLC6-2P6";;;
44;"TP4";"TestPoint_Pad_D1.0mm";1;"3V3";;;
45;"R12";"R_0402_1005Metric";1;"TBD";;;
46;"SW4";"EVQPUC";1;"BTN4";;;
47;"U1";"SR2HARU";1;"SR2HARU";;;
48;"D1";"D_SOD-123";1;"MBR0530";;;
49;"Y1";"Crystal_SMD_2012-2Pin_2.0x1.2mm";1;"32.768KHz";;;
